sigma,mean_psd,variance_psd,skewness,kurtosis
0.1,0.093676760518576159832955644595814637790314077633056,7.45664533909287300852306369579811048068179780142e-07,0.050011882514335257576294558505918959167781340661141,-0.08189632647698712057030499739821428986441554480832
0.5,0.094188154314884048815899711024271421959391440233239,1.6504745567356553815084729465151493676696992013976e-05,0.0032779678791513001161305550606390487688928970675492,-0.066797638223717985407703978123154460791764384712975
1,0.095881899940131453341742641261839300206394078145027,7.8854593887170451655112719628580550950967046161087e-05,0.15611620810964047836090479542527695907619833703471,-0.26215340957849865395651685014716437329784258813892
3.5,0.11852501463988586706106784720027971270162777036982,0.0010185286570222316392009596106851077728242852520591,0.35474073025142345397276146760265281993312733859482,0.08670454106298292752618521023319810952346189857595
10,0.29039855896341952113265416676408955026016415072863,0.015333640183772124674245242805687022501740515986535,0.83940896922888928610437852040453342541444121173112,0.79444298836250282103371617904208597015328627928616
25,1.3478560383575131820501428639065021706535540176472,0.279913556923066995641341305122084608561153646783,0.76986903794922267982871135628180835037047778112589,0.95712494211632635272136081757071320006522251307766
50,5.1109660941845117940621136404085586941087057488406,3.7190869092772466783272695791430619831069522040482,0.76063717440599828150981457800884070607002196272517,0.73266859251794319116337677238417584745646931618773
