k_res,PSD_periodogram,PSD_periodogram_hamm,PSD_mt,k_we,PSD_welch
0,0.0104905864865628069484,0.0110222841124451548607,0.0116917666150416180782,0,0.0122145534944497328727
1,0.0121922944775327993486,0.0127794808931588477626,0.0120146712844318870852,1,0.012012030280147067499
2,0.0136287711072889035328,0.0139170607037528062351,0.0118659543531119476743,2,0.0130202479542165278517
3,0.00995962116177526976155,0.0106624979124646122466,0.0119300018023770031674,3,0.0124810288548017152792
4,0.0131159360844146723412,0.0117251487660363027707,0.0123017378383007171625,4,0.0131105689997168284968
5,0.0108218989367379627489,0.0109099063973993269198,0.0124724206330832018762,5,0.0121523738624014714281
6,0.012540693711854026894,0.0127811572112065317682,0.0125746917790895218201,6,0.012408137098310742122
7,0.0148914244853863214683,0.0136087606960945584198,0.012773792063367727003,7,0.0116848411655211912728
8,0.0139755110529940996426,0.0122690263187010239154,0.0128147613836058508595,8,0.0121653176183763370824
9,0.0142460012155364324849,0.0123894878852107007244,0.0127657612716890063406,9,0.0122842005117701760396
10,0.0116931657773630156747,0.012560154146826259681,0.012932892490444539937,10,0.0125957289371803159272
11,0.012233270088086199188,0.0125147045103404069464,0.0125598923895719223011,11,0.0121523267511896094958
12,0.0124917431628039546347,0.0129399226482056965437,0.0126814878003540253257,12,0.0128055951052438746799
13,0.0115754381276318482026,0.0123706599012733340933,0.0126986576138578660236,13,0.0121942832848972425666
14,0.0135792072365005495423,0.0132436601293005285753,0.0130939810904924090786,14,0.0119057339722135198476
15,0.0121797951561916596643,0.0118093867372874461773,0.0130122895586900613899,15,0.0119121875498669904122
16,0.0139789278395893450761,0.0138111424544751083656,0.0130528488687374606824,16,0.0120964313478142515148
17,0.0144468865268649687183,0.0139131439491820633308,0.0127822689392456444766,17,0.0120378765477539309244
18,0.0126219293275094424441,0.012993734668965979456,0.0124175011731201113389,18,0.0125574855710317422317
19,0.0109701480677896901648,0.0112988788131953770072,0.0127145661602441432843,19,0.0119925429801476310362
20,0.013002486932418890849,0.0112524524153852645989,0.0125736443224480525034,20,0.0127560020389455803149
21,0.0108868784847328375887,0.0098103733166181441495,0.0124729593876045476176,21,0.0122034846615098992263
22,0.0125230662911526944306,0.0116261524546186386438,0.0123151415683096604858,22,0.0115268564191760771357
23,0.0152048370849345718247,0.0143440670150686913806,0.0121486884838566047241,23,0.0117391204756001860097
24,0.013070092954554915774,0.0120060246837495887559,0.0121291034020489727811,24,0.0116468941827768791451
25,0.0113959912943746771603,0.0118689699329991350227,0.0123208076806106895826,25,0.0124039293326448069976
26,0.0104083809031800148105,0.0112008088869704414444,0.0121325224152226977634,26,0.0122537058718427084225
27,0.0109248624146550549498,0.0113329292882613455546,0.0118301401425891253968,27,0.0124901940515939583312
28,0.0119133619781550238592,0.0113611217398260255255,0.0116991771636245153807,28,0.0129276124476435458281
29,0.0118367906809701476631,0.0112393267841268288921,0.0118155387574302386912,29,0.0122621860273585296805
30,0.011134808969169126818,0.0112921118113518382258,0.0119833003859241287845,30,0.0331348715115596198896
31,0.0129359538491615354224,0.0128720271607001014635,0.0120211728898832731139,31,0.0542654038503792484863
32,0.0128008818218922398646,0.0137091802176766742848,0.0121896606815510988509,32,0.0149098537522741168066
33,0.0116817928465739076113,0.0133140723827451798125,0.0121281154129321737601,33,0.0121906293375775129942
34,0.0112021679029608253399,0.0114778724131174082072,0.0123152509574578127334,34,0.0125480464840580980131
35,0.013199734567056858122,0.0121363845676154423335,0.0122170225007312833034,35,0.0117464555548268009397
36,0.011735040800697662142,0.0103869573265889742269,0.012289045837759261142,36,0.0124321746620184939271
37,0.0120297358684784477369,0.0107716059623293264606,0.0122852619156367013644,37,0.0122667082912211386119
38,0.0123366825157236137187,0.0129717535158456653237,0.0126318683728973034087,38,0.0117876301229708316947
39,0.0137943389526185512609,0.0121616927287011015711,0.0122255840939284399215,39,0.0113517036960291075989
40,0.0129544776977384103774,0.0115710506479851431756,0.0123593340859033502381,40,0.0126520310358151702946
41,0.0123114586909678297034,0.0111006799023107338297,0.0124266120559495928014,41,0.0118041017363057563094
42,0.0113771860858678731777,0.0111925578209831846248,0.0122157441699633814593,42,0.0115531930143302513971
43,0.0132867977576681292074,0.013775406197657709342,0.0119152175443385858862,43,0.0124302985778292772215
44,0.0124217130113827117058,0.0128647989066033088479,0.0122293577888502838625,44,0.0125341778845596757654
45,0.011026674049576615574,0.0105092489104991259155,0.0125381679086753469875,45,0.0115776020309398952582
46,0.0116796360956888011632,0.012168987921047944457,0.012357310837673830697,46,0.011795482071609274298
47,0.0143072113753316981607,0.0149795713985498300134,0.0125692564692869617085,47,0.0134648425741584357328
48,0.0134464815164242195475,0.0143322652361823002461,0.0124434733701625263251,48,0.0131905510819868099482
49,0.0116047302297215489832,0.012630853317178425374,0.0124571727621079851674,49,0.0128639551326903985445
50,0.0114359906056322876853,0.0133938310105433215076,0.0124028174135458735953,50,0.0125760234188311656805
51,0.01270392250185593556,0.0148034961671824602825,0.0121368907643524430863,51,0.0116770446648832269679
52,0.0115821030334434026157,0.0126355000627782124403,0.0120658115485642550123,52,0.0126869222997195228351
53,0.0112452795692166004684,0.0104730448864145485102,0.0120535053547898070449,53,0.0123625868280189821464
54,0.0106920625761698487221,0.0105765266316236931137,0.0119757256876379008492,54,0.0121758605890225025632
55,0.0142145163392172142934,0.0124344030173462441907,0.0116725544316781534701,55,0.0118817736923661918669
56,0.0122155136056514658364,0.0114658735227657231043,0.0116983110331477304352,56,0.0117763819784392377918
57,0.0100166315292338620604,0.0117337293581544654214,0.0118866936468841739105,57,0.0120647631828189626931
58,0.0109103154412093826785,0.0101532259896644322105,0.011980458217426538765,58,0.0117199827086856743222
59,0.0131939285633624661744,0.0106633762916944891093,0.0121520411666309820312,59,0.0119361834037952966703
60,0.0115189989201812849506,0.0116866589541678165969,0.0120404499318418743033,60,0.0110815546030705567775
61,0.0112513977438023393011,0.0121688451890932528208,0.0118463217605434200329,61,0.0109136887894983908605
62,0.0145642567397970874322,0.014063094845913158553,0.0119680712974937972489,62,0.0112745394184884152958
63,0.0113520213413783940504,0.0137230153494638007859,0.0118856722536105416363,63,0.0160037437189119510157
64,0.0110290792596190560016,0.0108349785685280386478,0.0120645168838610913079,64,0.0343367155370248999695
65,0.0134167223204033192176,0.0105107141816735813668,0.0120670233196809120386,65,0.0164091246646929589474
66,0.0112188494353881708432,0.0105195734815690397854,0.0120152368988902923463,66,0.0129829770399296071282
67,0.0119366771773469470804,0.0116266275694548490578,0.0119185088037321949297,67,0.0131548945016672189856
68,0.0114594542887093723173,0.0120857917679795343972,0.0121422187733267393439,68,0.0129032152826807977306
69,0.0119881764112535703981,0.0127746187180300270993,0.0122075875858370010109,69,0.0127451863673341471209
70,0.0134837521616478464904,0.0130671205477842211821,0.0123908401291079690168,70,0.0111017600380021525122
71,0.0111281689524189685889,0.0122411356994394033099,0.0124848823699826841883,71,0.011597503673737301747
72,0.0128014647162625726474,0.0125683954500198982119,0.012706096677124638172,72,0.0122718955182235996134
73,0.0143691998849308004578,0.012825962341325404756,0.0124120505811093879901,73,0.0123521003466606173583
74,0.0119243780380003632799,0.0127170753778082763043,0.0119873933896118196322,74,0.0116323501016302865759
75,0.0128623262447788119881,0.0142485464509006780641,0.0122591020198938104254,75,0.0121656612834096397132
76,0.0109428062572265069719,0.012057843634303880434,0.0124811620187876016322,76,0.012409551956709211534
77,0.00951852489896958412644,0.0107098487101298231868,0.0123648444656189771687,77,0.0124565992229384555069
78,0.0141881772072737867337,0.0133499460712827604776,0.0124287663325562554496,78,0.012155736402407463444
79,0.0128713401399436170362,0.0133763696423129753867,0.0124954632101914592486,79,0.011873400669566093203
80,0.0124320814398453459927,0.0134704554233208544781,0.0125921379588695965545,80,0.0122306451766369011412
81,0.0118190448655803694844,0.0137322063663136248552,0.0128613549658148857716,81,0.0126970214683417479948
82,0.0134152567444101606601,0.0144068536082277261554,0.0127985006387731003875,82,0.0122692811141044258834
83,0.0136481477370485797872,0.0135481568041290273246,0.0125764274332596913077,83,0.0126065542645999964241
84,0.0118261499041319706748,0.0127476730149135686477,0.0122642492868086249101,84,0.0111975600971280129115
85,0.012878065230051888198,0.0122502700973635084494,0.0121085914415196693826,85,0.0113216385078162524483
86,0.0109388090554801887918,0.0102013754081733634893,0.0118602973562341438394,86,0.0124428258360671555619
87,0.0123661960254614281389,0.011654058127856167691,0.0118190314690173864775,87,0.0125117423228613099067
88,0.010899905845030799306,0.0110053211510891122786,0.0117703617031250401945,88,0.0124248381143498094926
89,0.0122008146222785934098,0.011286157477710510135,0.0117564854403146037565,89,0.0124277740704032309119
90,0.0125531114854488245903,0.0122128548648164931095,0.0118868354516032970038,90,0.0126695993448666550209
91,0.0115382316491204852169,0.0133338977971345289421,0.0116708459106551931049,91,0.0118566594942513933446
92,0.0137591534480945365501,0.0133209291494750010203,0.0116911721736311485011,92,0.0120234175654265337939
93,0.0127796018432142210432,0.0114488563852469368561,0.0118470686296564776096,93,0.0122895425805947237486
94,0.0117137267738506374458,0.0105923930777258763244,0.0117314435882915810746,94,0.0114847349201045722978
95,0.00990223911887419656758,0.0096274099583902187635,0.011957745017670883089,95,0.011272533728735129785
96,0.012645577631942222859,0.0129286213952045248021,0.0117206967013923447004,96,0.011453355560544866438
97,0.0102864281268975986429,0.0113343353489108554403,0.0115543498660509057216,97,0.0120388316423984474578
