sigma,mean_psd,variance_psd,skewness,kurtosis
0.1,0.093695843504614281,7.1975031868497187e-07,0.024338379735750279,-0.012570055327755289
0.5,0.093985960780259461,1.7729230995851154e-05,0.23753978907301478,0.12153778447189452
1,0.095674892173382995,7.8214954406653442e-05,0.10207908008068218,0.038901961851283303
3.5,0.1187401273023244,0.0010096070719704869,0.33946976626291714,0.14875900179748485
10,0.29055569707315007,0.013075141530068004,0.87551534690641213,1.0384948039440766
25,1.3471925106911653,0.27258686517714042,0.6801757343153581,0.44718065024175015
50,5.0110149758162557,3.604909284715934,0.62032803057198041,0.13556655052864151
