sigma,mean_psd,variance_psd,skewness,kurtosis
0.1,0.093666165963760775,7.2410404716214587e-07,-0.025501072075140338,-0.16042751315616854
0.5,0.094363198658433206,1.8748902355906471e-05,0.1405802890392652,-0.19851062767494376
1,0.095853821797745958,7.396761638442445e-05,0.14638627958802988,0.01161154393218311
3.5,0.11852558965546661,0.0010570582908241907,0.40692283877230523,0.18644602869160742
10,0.29457337723819321,0.011997588203959188,0.74247826045034782,0.53548599479675252
25,1.356993853537142,0.28494682983304909,0.81607171377143572,0.95828420624660726
50,5.0647592754332269,4.0828243203815351,0.83936284336153755,0.97012916021351225
